選手名,選手ID,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
田中　将大,11215114,2007,東北楽天,28,11,7,0,0,0,4,1,0,0.611,800,"186
.1",183,17,68,7,196,10,1,83,79,3.82
田中　将大,11215114,2008,東北楽天,25,9,7,1,0,0,5,2,1,0.563,726,"172
.2",171,9,54,2,159,6,0,71,67,3.49
田中　将大,11215114,2009,東北楽天,25,15,6,1,0,0,6,3,0,0.714,771,"189
.2",170,13,43,7,171,3,0,51,49,2.33
田中　将大,11215114,2010,東北楽天,20,11,6,0,0,0,8,1,2,0.647,643,155,159,9,32,5,119,1,0,47,43,2.5
田中　将大,11215114,2011,東北楽天,27,19,5,0,0,0,14,6,4,0.792,866,"226
.1",171,8,27,5,241,7,0,35,32,1.27
田中　将大,11215114,2012,東北楽天,22,10,4,0,0,0,8,3,4,0.714,696,173,160,4,19,2,169,4,0,45,36,1.87
田中　将大,11215114,2013,東北楽天,28,24,0,1,0,0,8,2,1,1,822,212,168,6,32,3,183,9,0,35,30,1.27
田中　将大,11215114,2021,東北楽天,23,4,9,0,0,0,1,0,0,0.308,624,"155
.2",131,17,29,5,126,6,1,54,52,3.01
田中　将大,11215114,2022,東北楽天,25,9,12,0,0,0,1,1,0,0.429,668,163,160,16,30,4,126,4,0,65,60,3.31
田中　将大,11215114,2023,東北楽天,24,7,11,0,0,0,0,0,0,0.389,600,"139
.1",156,15,38,5,81,5,0,79,76,4.91
田中　将大,11215114,2024,東北楽天,1,0,1,0,0,0,0,0,0,0,23,5,6,1,2,0,1,0,0,4,4,7.2
田中　将大,11215114,2025,読　売,10,3,4,0,0,0,0,0,0,0.429,209,45,53,4,21,1,29,1,0,30,25,5
田中　将大,11215114,2026,読　売,6,3,1,0,0,0,0,0,0,0.75,151,"35
.2",37,1,10,0,27,0,0,13,9,2.27
大勢                                            （翁田　大勢）,81085155,2022,読　売,57,1,3,37,8,9,0,0,0,0.25,221,57,38,7,13,3,60,1,0,17,13,2.05
大勢                                            （翁田　大勢）,81085155,2023,読　売,27,3,0,14,1,4,0,0,0,1,116,26,26,4,11,1,34,1,0,13,13,4.5
大勢                                            （翁田　大勢）,81085155,2024,読　売,43,1,2,29,5,6,0,0,0,0.333,161,41,28,0,8,0,54,1,0,4,4,0.88
大勢                                            （翁田　大勢）,81085155,2025,読　売,62,8,4,1,46,54,0,0,0,0.667,244,"59
.2",47,4,14,4,60,3,0,14,14,2.11
大勢                                            （翁田　大勢）,81085155,2026,読　売,15,1,0,2,10,11,0,0,0,1,49,"14
.1",5,1,2,0,14,0,0,3,3,1.88
西舘　勇陽,31635159,2024,読　売,28,1,3,1,20,21,0,0,0,0.25,126,"30
.2",22,2,14,0,25,0,0,14,13,3.82
西舘　勇陽,31635159,2025,読　売,15,2,3,0,1,1,0,0,0,0.4,228,"53
.1",58,6,11,2,45,1,0,26,25,4.22
山﨑　伊織,3305153,2022,読　売,20,5,5,0,1,1,0,0,0,0.5,410,"97
.1",95,6,20,9,55,0,0,37,34,3.14
山﨑　伊織,3305153,2023,読　売,23,10,5,0,0,0,3,1,2,0.667,586,149,119,10,25,7,106,3,0,46,45,2.72
山﨑　伊織,3305153,2024,読　売,24,10,6,0,0,0,1,1,0,0.625,621,"147
.1",140,8,42,10,103,2,0,48,46,2.81
山﨑　伊織,3305153,2025,読　売,25,11,4,0,0,0,1,0,0,0.733,625,"156
.1",124,9,36,6,131,4,0,40,36,2.07
戸郷　翔征,41045138,2019,読　売,2,1,0,0,0,1,0,0,0,1,34,"8
.2",6,1,3,1,11,0,0,2,2,2.08
戸郷　翔征,41045138,2020,読　売,19,9,6,0,0,1,0,0,0,0.6,446,"107
.2",87,12,42,6,106,1,0,33,33,2.76
戸郷　翔征,41045138,2021,読　売,26,9,8,0,0,0,1,0,0,0.529,639,"151
.2",130,19,58,6,138,3,0,75,72,4.27
戸郷　翔征,41045138,2022,読　売,25,12,8,0,0,0,3,1,1,0.6,702,"171
.2",146,11,51,8,154,3,0,52,50,2.62
戸郷　翔征,41045138,2023,読　売,24,12,5,0,0,0,4,2,1,0.706,676,170,141,14,39,3,141,2,0,49,45,2.38
戸郷　翔征,41045138,2024,読　売,26,12,8,0,0,0,4,3,1,0.6,703,180,129,12,44,7,156,3,0,39,39,1.95
戸郷　翔征,41045138,2025,読　売,21,8,9,0,0,1,0,0,0,0.471,497,111,124,8,46,2,87,2,0,58,51,4.14
戸郷　翔征,41045138,2026,読　売,2,0,1,0,0,0,0,0,0,0,46,10,12,2,3,2,11,0,0,8,8,7.2
竹丸　和幸,71275152,2026,読　売,6,4,2,0,0,0,0,0,0,0.667,148,"34
.1",35,2,13,1,32,1,0,13,11,2.88
Ｆ．ウィットリー,53355152,2026,読　売,5,1,2,0,0,0,0,0,0,0.333,113,"28
.1",15,4,13,0,31,1,0,12,9,2.86
Ｓ．ハワード,23725150,2025,東北楽天,9,5,1,0,0,0,0,0,0,0.833,196,"48
.2",42,1,11,2,36,0,1,13,12,2.22
Ｓ．ハワード,23725150,2026,読　売,2,0,1,0,0,0,0,0,0,0,43,"9
.1",9,0,7,0,14,0,0,5,4,3.86
田和　廉,21225152,2026,読　売,17,0,0,0,2,2,0,0,0,0,57,14,10,0,5,1,7,0,0,1,1,0.64
赤星　優志,51155155,2022,読　売,31,5,5,0,5,5,0,0,0,0.5,347,78,81,8,32,4,52,0,0,50,35,4.04
赤星　優志,51155155,2023,読　売,12,5,5,0,0,0,0,0,0,0.5,281,69,70,5,13,4,64,0,0,27,26,3.39
赤星　優志,51155155,2024,読　売,21,1,7,0,1,1,0,0,0,0.125,291,75,66,8,10,2,43,1,0,28,26,3.12
赤星　優志,51155155,2025,読　売,22,6,9,0,0,0,1,1,1,0.4,488,121,110,12,19,5,88,0,0,42,36,2.68
赤星　優志,51155155,2026,読　売,10,3,1,0,1,3,0,0,0,0.75,65,"15
.2",14,1,4,2,12,0,0,3,3,1.72
山城　京平,43145152,2026,読　売,1,0,0,0,0,0,0,0,0,0,13,2,3,0,3,2,1,0,0,5,5,22.5
